timestamp_utc,HY_Res_Level,HY_Head,HY_Flow,HY_Pressure,HY_Speed_Pct,HY_Freq_Hz,HY_Power_MW,HY_Gate_Pos,HY_Gate_Cmd,HY_Breaker_Sts,HY_Breaker_Cmd,HY_Spill_Sts,HY_Spill_Cmd,HY_State_Idle,HY_State_Startup,HY_State_Running,HY_State_Shutdown,HY_State_Tripped,HY_Permissives_Ready,HY_Trip_Overspeed,HY_Trip_Overpressure,HY_Trip_LowHead,HY_Trip_Manual,HY_Alarm_GateMismatch,HY_Alarm_BreakerMismatch,HY_Alarm_LowLevel,HY_Power_Setpoint_MW
2025-06-15T10:15:00Z,25.06,99.99,60.13,976.36,100.19,60.01,51.34,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:00.5Z,25.08,99.95,59.73,980.11,100.07,60.01,51.40,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:01Z,25.03,100.19,59.89,981.47,99.98,59.99,51.45,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:01.5Z,25.10,99.77,60.22,982.27,99.85,60.00,51.48,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:02Z,25.09,100.43,60.20,985.08,99.92,60.00,51.35,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:02.5Z,24.94,100.33,60.20,985.51,100.02,60.02,51.36,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:03Z,24.90,100.03,59.90,976.54,100.06,60.00,51.31,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:03.5Z,25.00,99.88,60.23,980.02,100.20,60.00,51.35,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:04Z,24.95,99.59,60.25,983.58,100.12,60.02,51.35,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:04.5Z,24.97,100.22,59.71,984.37,100.04,60.02,51.46,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:05Z,25.03,100.50,60.25,982.93,99.86,60.00,51.43,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:05.5Z,24.96,100.04,59.96,976.75,100.14,60.00,51.35,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:06Z,24.96,100.20,59.85,977.92,99.94,59.98,51.34,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:06.5Z,25.03,100.46,60.20,984.25,100.14,60.01,51.36,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:07Z,24.98,100.09,59.83,981.42,99.93,60.01,51.45,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:07.5Z,25.02,100.32,59.99,976.32,99.86,59.98,51.35,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:08Z,25.00,99.53,59.91,980.31,99.96,60.01,51.35,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:08.5Z,25.00,100.10,60.08,978.71,99.81,60.00,51.36,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:09Z,25.02,99.87,60.23,983.63,99.83,60.02,51.42,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:09.5Z,25.01,99.70,59.78,977.41,100.03,60.01,51.38,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:10Z,25.08,100.25,59.71,983.35,99.81,60.01,51.38,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:10.5Z,25.03,99.75,59.95,983.02,100.11,60.01,51.46,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:11Z,24.97,100.21,60.13,984.49,100.18,60.01,51.37,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:11.5Z,25.10,100.35,59.89,985.35,99.89,60.01,51.29,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:12Z,24.93,99.95,60.12,982.81,100.04,60.01,51.42,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:12.5Z,24.91,99.95,60.07,983.07,100.15,60.01,51.31,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:13Z,24.97,99.90,60.12,977.74,100.15,59.98,51.43,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:13.5Z,24.90,99.98,59.99,981.60,99.81,60.01,51.33,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:14Z,24.91,99.55,60.09,983.93,100.07,60.00,51.42,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:14.5Z,24.96,99.94,59.85,983.29,100.00,59.99,51.34,60.00,60.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:15Z,24.98,100.33,60.19,980.76,129.87,77.91,0.01,60.00,60.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:15.5Z,25.09,99.58,59.71,979.64,130.19,78.03,0.05,60.00,60.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:16Z,25.09,99.86,60.27,985.82,130.08,77.96,0.05,60.00,60.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:16.5Z,24.94,100.38,60.22,977.88,130.12,77.97,0.00,60.00,60.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:17Z,24.91,100.46,59.80,982.43,130.13,78.04,0.00,60.00,60.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:17.5Z,24.96,100.40,59.91,985.66,130.18,78.03,0.00,60.00,60.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:18Z,25.03,100.36,59.94,983.17,130.00,77.93,0.08,60.00,60.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:18.5Z,24.91,99.90,60.09,980.77,129.96,78.07,0.07,60.00,60.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:19Z,25.05,100.47,59.99,982.45,130.00,78.01,0.03,60.00,60.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:19.5Z,25.10,100.21,60.00,977.64,129.84,77.99,0.00,60.00,60.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:20Z,25.08,99.56,0.00,976.48,126.64,76.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:20.5Z,25.05,100.26,0.24,984.28,123.64,74.06,0.05,0.00,0.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:21Z,25.04,100.42,0.00,977.47,120.67,72.37,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:21.5Z,24.92,99.65,0.00,983.90,117.38,70.41,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:22Z,24.93,99.99,0.00,983.28,114.39,68.69,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:22.5Z,25.08,99.54,0.00,977.54,111.58,67.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,50.00
2025-06-15T10:15:23Z,24.97,99.84,0.10,980.17,108.89,65.24,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:23.5Z,24.94,99.69,0.00,985.51,106.17,63.70,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:24Z,25.07,100.39,0.00,976.41,103.35,62.08,0.02,0.00,0.00,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,50.00
2025-06-15T10:15:24.5Z,24.96,100.21,0.00,977.21,100.99,60.63,0.06,0.00,0.00,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,50.00
