timestamp_utc,HY_Res_Level,HY_Head,HY_Flow,HY_Pressure,HY_Speed_Pct,HY_Freq_Hz,HY_Power_MW,HY_Gate_Pos,HY_Gate_Cmd,HY_Breaker_Sts,HY_Breaker_Cmd,HY_Spill_Sts,HY_Spill_Cmd,HY_State_Idle,HY_State_Startup,HY_State_Running,HY_State_Shutdown,HY_State_Tripped,HY_Permissives_Ready,HY_Trip_Overspeed,HY_Trip_Overpressure,HY_Trip_LowHead,HY_Trip_Manual,HY_Alarm_GateMismatch,HY_Alarm_BreakerMismatch,HY_Alarm_LowLevel,HY_Power_Setpoint_MW
2025-06-15T10:00:00Z,24.97,99.57,0.06,978.09,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:00.5Z,25.06,99.88,0.00,982.46,0.09,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:01Z,24.97,99.62,0.10,980.66,0.08,0.00,0.04,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:01.5Z,25.09,100.47,0.00,979.40,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:02Z,25.03,99.54,0.26,977.30,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:02.5Z,24.97,100.22,0.24,985.97,0.00,0.00,0.09,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:03Z,25.09,100.36,0.00,982.27,0.10,0.00,0.05,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:03.5Z,24.95,99.56,0.12,981.72,0.13,0.00,0.01,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:04Z,25.01,100.29,0.00,977.77,0.18,0.00,0.06,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:04.5Z,25.01,99.73,0.00,978.85,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:05Z,25.08,100.18,0.00,983.25,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:05.5Z,24.96,100.08,0.24,984.67,0.00,0.00,0.04,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:06Z,24.99,100.39,0.08,981.41,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:06.5Z,25.00,100.37,0.25,985.64,0.00,0.00,0.05,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:07Z,24.99,100.21,0.19,977.56,0.00,0.00,0.06,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:07.5Z,24.95,100.49,0.21,977.96,0.07,0.00,0.01,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:08Z,24.97,100.45,0.00,981.79,0.00,0.00,0.10,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:08.5Z,24.97,99.64,0.25,985.18,0.01,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:09Z,25.05,100.14,0.00,982.53,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:09.5Z,25.06,100.24,0.00,976.01,0.00,0.00,0.07,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:10Z,24.94,99.58,0.24,982.87,0.00,0.00,0.10,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:10.5Z,24.91,99.93,0.00,985.30,0.02,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:11Z,24.93,99.75,0.26,979.84,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:11.5Z,25.05,99.65,0.09,982.83,0.03,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:12Z,24.91,100.44,0.12,984.45,0.12,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:12.5Z,25.09,99.92,0.00,980.63,0.00,0.00,0.03,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:13Z,24.97,99.92,0.22,976.62,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:13.5Z,25.08,99.87,0.25,981.08,0.00,0.00,0.06,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:14Z,25.02,100.03,0.00,984.27,0.03,0.00,0.07,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:14.5Z,25.05,100.29,0.00,978.53,0.01,0.00,0.08,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:15Z,25.05,99.62,0.00,981.90,0.00,0.00,0.08,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:15.5Z,24.93,100.41,0.00,976.56,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:16Z,24.94,99.73,0.00,980.90,0.19,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:16.5Z,24.98,99.81,0.00,981.83,0.00,0.00,0.05,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:17Z,25.05,100.44,0.05,976.97,0.08,0.00,0.09,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:17.5Z,25.03,99.96,0.27,981.86,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:18Z,25.07,100.20,0.00,978.03,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:18.5Z,25.08,100.47,0.00,979.20,0.12,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:19Z,24.91,99.73,0.00,985.20,0.14,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:19.5Z,24.92,99.56,0.00,981.68,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:20Z,25.00,99.82,0.00,984.31,0.15,0.00,0.09,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:20.5Z,25.07,100.47,0.10,985.73,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:21Z,25.10,99.81,0.20,977.85,0.00,0.00,0.04,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:21.5Z,24.97,100.14,0.27,979.52,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:22Z,25.04,99.66,0.00,984.56,0.00,0.00,0.07,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:22.5Z,24.93,100.08,0.00,984.42,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:23Z,24.99,100.49,0.00,977.56,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:23.5Z,25.05,100.46,0.00,981.65,0.09,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:24Z,24.96,99.75,0.00,976.97,0.00,0.00,0.06,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:24.5Z,24.95,99.75,0.05,977.87,0.17,0.00,0.07,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:25Z,25.06,99.57,0.00,983.37,0.00,0.00,0.01,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:25.5Z,25.00,100.09,0.00,976.35,0.00,0.00,0.03,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:26Z,25.09,100.27,0.00,979.90,0.09,0.00,0.01,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:26.5Z,24.93,100.20,0.00,982.14,0.05,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:27Z,25.00,100.23,0.26,984.69,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:27.5Z,24.92,100.39,0.18,984.92,0.13,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:28Z,25.00,100.29,0.17,985.61,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:28.5Z,24.93,100.24,0.00,980.53,0.07,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:29Z,25.05,99.67,0.00,977.13,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
2025-06-15T10:00:29.5Z,24.91,100.45,0.00,984.04,0.08,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00
