timestamp_utc,Supply_Tank_Level,Supply_Pump_Flow,Supply_Pump_Speed,Supply_Pump_Sts,Supply_Mixer_Sts,Supply_Tank_Valve,Supply_Tank_Valve_Sts,Supply_NaOCl_Level,Supply_NH4Cl_Level,Grid_Elev_Tank_Level,Grid_Consum_Tank_Level,Grid_Elev_Valve,Grid_Elev_Valve_Sts,RWS_Tank_Level,RWS_Pump_Sts,RWS_Pump_Speed,RWS_Tank_Valve,RWS_Tank_Valve_Sts,SYS_IDLE,SYS_RUNNING,Alarm_Supply_Tank_HH
2025-06-15T10:00:00Z,598.73,0.00,0.00,0,0,0,0,799.24,749.24,1197.97,998.48,0,0,398.98,0,0.00,0,0,1,0,0
2025-06-15T10:00:00.5Z,595.66,0.00,0.00,0,0,0,0,797.40,747.40,1193.06,994.79,0,0,396.53,0,0.00,0,0,1,0,0
2025-06-15T10:00:01Z,601.04,0.00,0.00,0,0,0,0,800.62,750.62,1201.67,1001.25,0,0,400.83,0,0.00,0,0,1,0,0
2025-06-15T10:00:01.5Z,597.09,0.00,0.00,0,0,0,0,798.25,748.25,1195.34,996.51,0,0,397.67,0,0.00,0,0,1,0,0
2025-06-15T10:00:02Z,595.44,0.00,0.00,0,0,0,0,797.26,747.26,1192.70,994.53,0,0,396.35,0,0.00,0,0,1,0,0
2025-06-15T10:00:02.5Z,598.83,0.00,0.00,0,0,0,0,799.30,749.30,1198.13,998.60,0,0,399.07,0,0.00,0,0,1,0,0
2025-06-15T10:00:03Z,603.13,0.00,0.00,0,0,0,0,801.88,751.88,1205.01,1003.75,0,0,402.50,0,0.00,0,0,1,0,0
2025-06-15T10:00:03.5Z,598.84,0.00,0.00,0,0,0,0,799.31,749.31,1198.15,998.61,0,0,399.08,0,0.00,0,0,1,0,0
2025-06-15T10:00:04Z,598.83,0.00,0.00,0,0,0,0,799.30,749.30,1198.13,998.60,0,0,399.06,0,0.00,0,0,1,0,0
2025-06-15T10:00:04.5Z,601.46,0.00,0.00,0,0,0,0,800.88,750.88,1202.34,1001.76,0,0,401.17,0,0.00,0,0,1,0,0
2025-06-15T10:00:05Z,602.36,0.00,0.00,0,0,0,0,801.41,751.41,1203.77,1002.83,0,0,401.89,0,0.00,0,0,1,0,0
2025-06-15T10:00:05.5Z,597.18,0.00,0.00,0,0,0,0,798.31,748.31,1195.49,996.62,0,0,397.74,0,0.00,0,0,1,0,0
2025-06-15T10:00:06Z,598.62,0.00,0.00,0,0,0,0,799.17,749.17,1197.79,998.34,0,0,398.89,0,0.00,0,0,1,0,0
2025-06-15T10:00:06.5Z,596.21,0.00,0.00,0,0,0,0,797.73,747.73,1193.94,995.45,0,0,396.97,0,0.00,0,0,1,0,0
2025-06-15T10:00:07Z,601.64,0.00,0.00,0,0,0,0,800.98,750.98,1202.62,1001.97,0,0,401.31,0,0.00,0,0,1,0,0
2025-06-15T10:00:07.5Z,599.66,0.00,0.00,0,0,0,0,799.80,749.80,1199.46,999.59,0,0,399.73,0,0.00,0,0,1,0,0
2025-06-15T10:00:08Z,602.12,0.00,0.00,0,0,0,0,801.27,751.27,1203.40,1002.55,0,0,401.70,0,0.00,0,0,1,0,0
2025-06-15T10:00:08.5Z,602.16,0.00,0.00,0,0,0,0,801.30,751.30,1203.45,1002.59,0,0,401.73,0,0.00,0,0,1,0,0
2025-06-15T10:00:09Z,604.42,0.00,0.00,0,0,0,0,802.65,752.65,1207.07,1005.30,0,0,403.53,0,0.00,0,0,1,0,0
2025-06-15T10:00:09.5Z,604.71,0.00,0.00,0,0,0,0,802.82,752.82,1207.53,1005.65,0,0,403.77,0,0.00,0,0,1,0,0
2025-06-15T10:00:10Z,596.19,0.00,0.00,0,0,0,0,797.72,747.72,1193.91,995.43,0,0,396.95,0,0.00,0,0,1,0,0
2025-06-15T10:00:10.5Z,598.40,0.00,0.00,0,0,0,0,799.04,749.04,1197.44,998.08,0,0,398.72,0,0.00,0,0,1,0,0
2025-06-15T10:00:11Z,597.87,0.00,0.00,0,0,0,0,798.72,748.72,1196.59,997.44,0,0,398.29,0,0.00,0,0,1,0,0
2025-06-15T10:00:11.5Z,597.27,0.00,0.00,0,0,0,0,798.36,748.36,1195.63,996.73,0,0,397.82,0,0.00,0,0,1,0,0
2025-06-15T10:00:12Z,601.53,0.00,0.00,0,0,0,0,800.92,750.92,1202.44,1001.83,0,0,401.22,0,0.00,0,0,1,0,0
2025-06-15T10:00:12.5Z,595.42,0.00,0.00,0,0,0,0,797.25,747.25,1192.67,994.50,0,0,396.34,0,0.00,0,0,1,0,0
2025-06-15T10:00:13Z,604.27,0.00,0.00,0,0,0,0,802.56,752.56,1206.83,1005.12,0,0,403.41,0,0.00,0,0,1,0,0
2025-06-15T10:00:13.5Z,596.30,0.00,0.00,0,0,0,0,797.78,747.78,1194.08,995.56,0,0,397.04,0,0.00,0,0,1,0,0
2025-06-15T10:00:14Z,599.51,0.00,0.00,0,0,0,0,799.70,749.70,1199.21,999.41,0,0,399.61,0,0.00,0,0,1,0,0
2025-06-15T10:00:14.5Z,597.11,0.00,0.00,0,0,0,0,798.27,748.27,1195.38,996.53,0,0,397.69,0,0.00,0,0,1,0,0
2025-06-15T10:00:15Z,598.67,0.00,0.00,0,0,0,0,799.20,749.20,1197.88,998.41,0,0,398.94,0,0.00,0,0,1,0,0
2025-06-15T10:00:15.5Z,602.22,0.00,0.00,0,0,0,0,801.33,751.33,1203.55,1002.66,0,0,401.77,0,0.00,0,0,1,0,0
2025-06-15T10:00:16Z,603.93,0.00,0.00,0,0,0,0,802.36,752.36,1206.28,1004.71,0,0,403.14,0,0.00,0,0,1,0,0
2025-06-15T10:00:16.5Z,604.97,0.00,0.00,0,0,0,0,802.98,752.98,1207.96,1005.97,0,0,403.98,0,0.00,0,0,1,0,0
2025-06-15T10:00:17Z,595.70,0.00,0.00,0,0,0,0,797.42,747.42,1193.12,994.84,0,0,396.56,0,0.00,0,0,1,0,0
2025-06-15T10:00:17.5Z,604.73,0.00,0.00,0,0,0,0,802.84,752.84,1207.58,1005.68,0,0,403.79,0,0.00,0,0,1,0,0
2025-06-15T10:00:18Z,604.37,0.00,0.00,0,0,0,0,802.62,752.62,1206.99,1005.24,0,0,403.49,0,0.00,0,0,1,0,0
2025-06-15T10:00:18.5Z,603.56,0.00,0.00,0,0,0,0,802.14,752.14,1205.69,1004.27,0,0,402.85,0,0.00,0,0,1,0,0
2025-06-15T10:00:19Z,596.52,0.00,0.00,0,0,0,0,797.91,747.91,1194.43,995.82,0,0,397.21,0,0.00,0,0,1,0,0
2025-06-15T10:00:19.5Z,601.27,0.00,0.00,0,0,0,0,800.76,750.76,1202.04,1001.53,0,0,401.02,0,0.00,0,0,1,0,0
2025-06-15T10:00:20Z,602.43,0.00,0.00,0,0,0,0,801.46,751.46,1203.89,1002.92,0,0,401.95,0,0.00,0,0,1,0,0
2025-06-15T10:00:20.5Z,602.56,0.00,0.00,0,0,0,0,801.54,751.54,1204.10,1003.07,0,0,402.05,0,0.00,0,0,1,0,0
2025-06-15T10:00:21Z,597.55,0.00,0.00,0,0,0,0,798.53,748.53,1196.08,997.06,0,0,398.04,0,0.00,0,0,1,0,0
2025-06-15T10:00:21.5Z,595.57,0.00,0.00,0,0,0,0,797.34,747.34,1192.91,994.68,0,0,396.45,0,0.00,0,0,1,0,0
2025-06-15T10:00:22Z,602.04,0.00,0.00,0,0,0,0,801.23,751.23,1203.27,1002.45,0,0,401.64,0,0.00,0,0,1,0,0
2025-06-15T10:00:22.5Z,600.72,0.00,0.00,0,0,0,0,800.43,750.43,1201.15,1000.86,0,0,400.57,0,0.00,0,0,1,0,0
2025-06-15T10:00:23Z,603.35,0.00,0.00,0,0,0,0,802.01,752.01,1205.35,1004.02,0,0,402.68,0,0.00,0,0,1,0,0
2025-06-15T10:00:23.5Z,600.44,0.00,0.00,0,0,0,0,800.26,750.26,1200.70,1000.52,0,0,400.35,0,0.00,0,0,1,0,0
2025-06-15T10:00:24Z,600.57,0.00,0.00,0,0,0,0,800.34,750.34,1200.91,1000.68,0,0,400.45,0,0.00,0,0,1,0,0
2025-06-15T10:00:24.5Z,602.89,0.00,0.00,0,0,0,0,801.73,751.73,1204.62,1003.47,0,0,402.31,0,0.00,0,0,1,0,0
2025-06-15T10:00:25Z,596.87,0.00,0.00,0,0,0,0,798.12,748.12,1194.99,996.24,0,0,397.50,0,0.00,0,0,1,0,0
2025-06-15T10:00:25.5Z,596.77,0.00,0.00,0,0,0,0,798.06,748.06,1194.83,996.12,0,0,397.41,0,0.00,0,0,1,0,0
