timestamp_utc,RW_Tank_Level,RW_Pump_Speed,RW_Pump_Flow,RW_Pump_Sts,RW_Pump_Fault,RW_Pump_Start,RW_Pump_Stop,RW_Tank_PR_Valve,RW_Tank_PR_Valve_Sts,RW_Tank_P_Valve,RW_Tank_P_Valve_Sts,ChemTreat_NaCl_Level,ChemTreat_NaOCl_Level,ChemTreat_HCl_Level,UF_UFFT_Tank_Level,SYS_IDLE,SYS_RUNNING,Alarm_RW_Tank_HH
2025-01-28T10:00:00Z,598.73,0.00,0.00,0,0,0,0,0,0,0,0,799.24,749.24,899.49,398.98,1,0,0
2025-01-28T10:00:00.5Z,595.66,0.00,0.00,0,0,0,0,0,0,0,0,797.40,747.40,898.26,396.53,1,0,0
2025-01-28T10:00:01Z,601.04,0.00,0.00,0,0,0,0,0,0,0,0,800.62,750.62,900.42,400.83,1,0,0
2025-01-28T10:00:01.5Z,597.09,0.00,0.00,0,0,0,0,0,0,0,0,798.25,748.25,898.84,397.67,1,0,0
2025-01-28T10:00:02Z,595.44,0.00,0.00,0,0,0,0,0,0,0,0,797.26,747.26,898.18,396.35,1,0,0
2025-01-28T10:00:02.5Z,598.83,0.00,0.00,0,0,0,0,0,0,0,0,799.30,749.30,899.53,399.07,1,0,0
2025-01-28T10:00:03Z,603.13,0.00,0.00,0,0,0,0,0,0,0,0,801.88,751.88,901.25,402.50,1,0,0
2025-01-28T10:00:03.5Z,598.84,0.00,0.00,0,0,0,0,0,0,0,0,799.31,749.31,899.54,399.08,1,0,0
2025-01-28T10:00:04Z,598.83,0.00,0.00,0,0,0,0,0,0,0,0,799.30,749.30,899.53,399.06,1,0,0
2025-01-28T10:00:04.5Z,601.46,0.00,0.00,0,0,0,0,0,0,0,0,800.88,750.88,900.59,401.17,1,0,0
2025-01-28T10:00:05Z,602.36,0.00,0.00,0,0,0,0,0,0,0,0,801.41,751.41,900.94,401.89,1,0,0
2025-01-28T10:00:05.5Z,597.18,0.00,0.00,0,0,0,0,0,0,0,0,798.31,748.31,898.87,397.74,1,0,0
2025-01-28T10:00:06Z,598.62,0.00,0.00,0,0,0,0,0,0,0,0,799.17,749.17,899.45,398.89,1,0,0
2025-01-28T10:00:06.5Z,596.21,0.00,0.00,0,0,0,0,0,0,0,0,797.73,747.73,898.48,396.97,1,0,0
2025-01-28T10:00:07Z,601.64,0.00,0.00,0,0,0,0,0,0,0,0,800.98,750.98,900.66,401.31,1,0,0
2025-01-28T10:00:07.5Z,599.66,0.00,0.00,0,0,0,0,0,0,0,0,799.80,749.80,899.86,399.73,1,0,0
2025-01-28T10:00:08Z,602.12,0.00,0.00,0,0,0,0,0,0,0,0,801.27,751.27,900.85,401.70,1,0,0
2025-01-28T10:00:08.5Z,602.16,0.00,0.00,0,0,0,0,0,0,0,0,801.30,751.30,900.86,401.73,1,0,0
2025-01-28T10:00:09Z,604.42,0.00,0.00,0,0,0,0,0,0,0,0,802.65,752.65,901.77,403.53,1,0,0
2025-01-28T10:00:09.5Z,604.71,0.00,0.00,0,0,0,0,0,0,0,0,802.82,752.82,901.88,403.77,1,0,0
2025-01-28T10:00:10Z,596.19,0.00,0.00,0,0,0,0,0,0,0,0,797.72,747.72,898.48,396.95,1,0,0
2025-01-28T10:00:10.5Z,598.40,0.00,0.00,0,0,0,0,0,0,0,0,799.04,749.04,899.36,398.72,1,0,0
2025-01-28T10:00:11Z,597.87,0.00,0.00,0,0,0,0,0,0,0,0,798.72,748.72,899.15,398.29,1,0,0
2025-01-28T10:00:11.5Z,597.27,0.00,0.00,0,0,0,0,0,0,0,0,798.36,748.36,898.91,397.82,1,0,0
2025-01-28T10:00:12Z,601.53,0.00,0.00,0,0,0,0,0,0,0,0,800.92,750.92,900.61,401.22,1,0,0
2025-01-28T10:00:12.5Z,595.42,0.00,0.00,0,0,0,0,0,0,0,0,797.25,747.25,898.17,396.34,1,0,0
2025-01-28T10:00:13Z,604.27,0.00,0.00,0,0,0,0,0,0,0,0,802.56,752.56,901.71,403.41,1,0,0
2025-01-28T10:00:13.5Z,596.30,0.00,0.00,0,0,0,0,0,0,0,0,797.78,747.78,898.52,397.04,1,0,0
2025-01-28T10:00:14Z,599.51,0.00,0.00,0,0,0,0,0,0,0,0,799.70,749.70,899.80,399.61,1,0,0
2025-01-28T10:00:14.5Z,597.11,0.00,0.00,0,0,0,0,0,0,0,0,798.27,748.27,898.84,397.69,1,0,0
2025-01-28T10:00:15Z,598.67,0.00,0.00,0,0,0,0,0,0,0,0,799.20,749.20,899.47,398.94,1,0,0
2025-01-28T10:00:15.5Z,602.22,0.00,0.00,0,0,0,0,0,0,0,0,801.33,751.33,900.89,401.77,1,0,0
2025-01-28T10:00:16Z,603.93,0.00,0.00,0,0,0,0,0,0,0,0,802.36,752.36,901.57,403.14,1,0,0
2025-01-28T10:00:16.5Z,604.97,0.00,0.00,0,0,0,0,0,0,0,0,802.98,752.98,901.99,403.98,1,0,0
2025-01-28T10:00:17Z,595.70,0.00,0.00,0,0,0,0,0,0,0,0,797.42,747.42,898.28,396.56,1,0,0
2025-01-28T10:00:17.5Z,604.73,0.00,0.00,0,0,0,0,0,0,0,0,802.84,752.84,901.89,403.79,1,0,0
2025-01-28T10:00:18Z,604.37,0.00,0.00,0,0,0,0,0,0,0,0,802.62,752.62,901.75,403.49,1,0,0
2025-01-28T10:00:18.5Z,603.56,0.00,0.00,0,0,0,0,0,0,0,0,802.14,752.14,901.42,402.85,1,0,0
2025-01-28T10:00:19Z,596.52,0.00,0.00,0,0,0,0,0,0,0,0,797.91,747.91,898.61,397.21,1,0,0
